county,cause,year,count
Alameda,Chronic liver disease and cirrhosis,1993,78
Alameda,Chronic liver disease and cirrhosis,1994,37
Alameda,Chronic liver disease and cirrhosis,1995,19
Alameda,Chronic liver disease and cirrhosis,1996,23
Alameda,Chronic liver disease and cirrhosis,1997,20
Alameda,Chronic liver disease and cirrhosis,1998,45
Alameda,Chronic liver disease and cirrhosis,1999,22
Alameda,Chronic liver disease and cirrhosis,2000,0
Alameda,Chronic liver disease and cirrhosis,2001,23
Alameda,Chronic liver disease and cirrhosis,2002,43
Alameda,Chronic liver disease and cirrhosis,2003,0
Alameda,Chronic liver disease and cirrhosis,2004,22
Alameda,Chronic liver disease and cirrhosis,2005,40
Alameda,Chronic liver disease and cirrhosis,2006,0
Alameda,Chronic liver disease and cirrhosis,2007,67
Alameda,Chronic liver disease and cirrhosis,2008,0
Alameda,Chronic liver disease and cirrhosis,2009,20
Alameda,Chronic liver disease and cirrhosis,2010,27
Alameda,Chronic liver disease and cirrhosis,2011,20
Alameda,Chronic liver disease and cirrhosis,2012,0
Alameda,Chronic liver disease and cirrhosis,2013,77
Alameda,Chronic liver disease and cirrhosis,2014,0
Alameda,Chronic liver disease and cirrhosis,2015,54
Alameda,Chronic liver disease and cirrhosis,2016,0
Alameda,Chronic liver disease and cirrhosis,2017,47
Alameda,Chronic liver disease and cirrhosis,2018,27
Alameda,Chronic liver disease and cirrhosis,2019,57
Alameda,Chronic liver disease and cirrhosis,2020,79
Alameda,Chronic liver disease and cirrhosis,2021,116
Alameda,"Nephritis, nephrotic syndrome and nephrosis",1989,0
Alameda,"Nephritis, nephrotic syndrome and nephrosis",1990,0
Alameda,"Nephritis, nephrotic syndrome and nephrosis",1991,0
Alameda,"Nephritis, nephrotic syndrome and nephrosis",1992,0
Alameda,"Nephritis, nephrotic syndrome and nephrosis",1993,0
Alameda,"Nephritis, nephrotic syndrome and nephrosis",1994,0
Alameda,"Nephritis, nephrotic syndrome and nephrosis",1995,0
Alameda,"Nephritis, nephrotic syndrome and nephrosis",1996,0
Alameda,"Nephritis, nephrotic syndrome and nephrosis",1997,0
Alameda,"Nephritis, nephrotic syndrome and nephrosis",1998,0
Alameda,"Nephritis, nephrotic syndrome and nephrosis",1999,0
Alameda,"Nephritis, nephrotic syndrome and nephrosis",2000,0
Alameda,"Nephritis, nephrotic syndrome and nephrosis",2001,0
Alameda,"Nephritis, nephrotic syndrome and nephrosis",2002,0
Alameda,"Nephritis, nephrotic syndrome and nephrosis",2003,0
Alameda,"Nephritis, nephrotic syndrome and nephrosis",2004,0
Alameda,"Nephritis, nephrotic syndrome and nephrosis",2005,0
Alameda,"Nephritis, nephrotic syndrome and nephrosis",2006,0
Alameda,"Nephritis, nephrotic syndrome and nephrosis",2007,0
Alameda,"Nephritis, nephrotic syndrome and nephrosis",2008,0
Alameda,"Nephritis, nephrotic syndrome and nephrosis",2009,0
Alameda,"Nephritis, nephrotic syndrome and nephrosis",2010,0
Alameda,"Nephritis, nephrotic syndrome and nephrosis",2011,0
Alameda,"Nephritis, nephrotic syndrome and nephrosis",2012,0
Alameda,"Nephritis, nephrotic syndrome and nephrosis",2013,0
Alameda,"Nephritis, nephrotic syndrome and nephrosis",2014,0
Alameda,"Nephritis, nephrotic syndrome and nephrosis",2015,0
Alameda,"Nephritis, nephrotic syndrome and nephrosis",2016,0
Alameda,"Nephritis, nephrotic syndrome and nephrosis",2017,0
Alameda,"Nephritis, nephrotic syndrome and nephrosis",2018,48
Alameda,"Nephritis, nephrotic syndrome and nephrosis",2019,0
Alameda,"Nephritis, nephrotic syndrome and nephrosis",2020,0
Alameda,"Nephritis, nephrotic syndrome and nephrosis",2021,49
Alameda,Parkinson's disease,1989,0
Alameda,Parkinson's disease,1990,0
Alameda,Parkinson's disease,1991,0
Alameda,Parkinson's disease,1992,0
Alameda,Parkinson's disease,1993,0
Alameda,Parkinson's disease,1994,0
Alameda,Parkinson's disease,1995,0
Alameda,Parkinson's disease,1996,0
Alameda,Parkinson's disease,1997,0
Alameda,Parkinson's disease,1998,0
Alameda,Parkinson's disease,1999,0
Alameda,Parkinson's disease,2000,0
Alameda,Parkinson's disease,2001,0
Alameda,Parkinson's disease,2002,0
Alameda,Parkinson's disease,2003,0
Alameda,Parkinson's disease,2004,0
Alameda,Parkinson's disease,2005,0
Alameda,Parkinson's disease,2006,0
Alameda,Parkinson's disease,2007,0
Alameda,Parkinson's disease,2008,0
Alameda,Parkinson's disease,2009,0
Alameda,Parkinson's disease,2010,0
Alameda,Parkinson's disease,2011,0
Alameda,Parkinson's disease,2012,0
Alameda,Parkinson's disease,2013,0
Alameda,Parkinson's disease,2014,0
Alameda,Parkinson's disease,2015,0
Alameda,Parkinson's disease,2016,0
Alameda,Parkinson's disease,2017,15
Alameda,Parkinson's disease,2018,0
Alameda,Parkinson's disease,2019,11
Alameda,Parkinson's disease,2020,0
Alameda,Parkinson's disease,2021,11
Alameda,Influenza and pneumonia,1989,503
Alameda,Influenza and pneumonia,1990,391
Alameda,Influenza and pneumonia,1991,380
Alameda,Influenza and pneumonia,1992,402
Alameda,Influenza and pneumonia,1993,473
Alameda,Influenza and pneumonia,1994,483
Alameda,Influenza and pneumonia,1995,445
Alameda,Influenza and pneumonia,1996,429
Alameda,Influenza and pneumonia,1997,741
Alameda,Influenza and pneumonia,1998,657
Alameda,Influenza and pneumonia,1999,228
Alameda,Influenza and pneumonia,2000,167
Alameda,Influenza and pneumonia,2001,260
Alameda,Influenza and pneumonia,2002,205
Alameda,Influenza and pneumonia,2003,246
Alameda,Influenza and pneumonia,2004,166
Alameda,Influenza and pneumonia,2005,121
Alameda,Influenza and pneumonia,2006,125
Alameda,Influenza and pneumonia,2007,94
Alameda,Influenza and pneumonia,2008,125
Alameda,Influenza and pneumonia,2009,131
Alameda,Influenza and pneumonia,2010,102
Alameda,Influenza and pneumonia,2011,76
Alameda,Influenza and pneumonia,2012,74
Alameda,Influenza and pneumonia,2013,108
Alameda,Influenza and pneumonia,2014,113
Alameda,Influenza and pneumonia,2015,70
Alameda,Influenza and pneumonia,2016,81
Alameda,Influenza and pneumonia,2017,107
Alameda,Influenza and pneumonia,2018,124
Alameda,Influenza and pneumonia,2019,102
Alameda,Influenza and pneumonia,2020,76
Alameda,Influenza and pneumonia,2021,0
Alameda,Cerebrovascular diseases,1989,1280
Alameda,Cerebrovascular diseases,1990,1201
Alameda,Cerebrovascular diseases,1991,1263
Alameda,Cerebrovascular diseases,1992,1219
Alameda,Cerebrovascular diseases,1993,1199
Alameda,Cerebrovascular diseases,1994,1186
Alameda,Cerebrovascular diseases,1995,1109
Alameda,Cerebrovascular diseases,1996,1170
Alameda,Cerebrovascular diseases,1997,1281
Alameda,Cerebrovascular diseases,1998,1275
Alameda,Cerebrovascular diseases,1999,1353
Alameda,Cerebrovascular diseases,2000,1371
Alameda,Cerebrovascular diseases,2001,1300
Alameda,Cerebrovascular diseases,2002,1157
Alameda,Cerebrovascular diseases,2003,1301
Alameda,Cerebrovascular diseases,2004,955
Alameda,Cerebrovascular diseases,2005,920
Alameda,Cerebrovascular diseases,2006,850
Alameda,Cerebrovascular diseases,2007,797
Alameda,Cerebrovascular diseases,2008,725
Alameda,Cerebrovascular diseases,2009,719
Alameda,Cerebrovascular diseases,2010,718
Alameda,Cerebrovascular diseases,2011,748
Alameda,Cerebrovascular diseases,2012,749
Alameda,Cerebrovascular diseases,2013,738
Alameda,Cerebrovascular diseases,2014,640
Alameda,Cerebrovascular diseases,2015,933
Alameda,Cerebrovascular diseases,2016,918
Alameda,Cerebrovascular diseases,2017,1203
Alameda,Cerebrovascular diseases,2018,943
Alameda,Cerebrovascular diseases,2019,1128
Alameda,Cerebrovascular diseases,2020,1115
Alameda,Cerebrovascular diseases,2021,1168
Alameda,Intentional self-harm (suicide),1989,0
Alameda,Intentional self-harm (suicide),1990,20
Alameda,Intentional self-harm (suicide),1991,0
Alameda,Intentional self-harm (suicide),1992,26
Alameda,Intentional self-harm (suicide),1993,11
Alameda,Intentional self-harm (suicide),1994,23
Alameda,Intentional self-harm (suicide),1995,0
Alameda,Intentional self-harm (suicide),1996,0
Alameda,Intentional self-harm (suicide),1997,24
Alameda,Intentional self-harm (suicide),1998,0
Alameda,Intentional self-harm (suicide),1999,0
Alameda,Intentional self-harm (suicide),2000,0
Alameda,Intentional self-harm (suicide),2001,0
Alameda,Intentional self-harm (suicide),2002,0
Alameda,Intentional self-harm (suicide),2003,20
Alameda,Intentional self-harm (suicide),2004,21
Alameda,Intentional self-harm (suicide),2005,0
Alameda,Intentional self-harm (suicide),2006,0
Alameda,Intentional self-harm (suicide),2007,0
Alameda,Intentional self-harm (suicide),2008,0
Alameda,Intentional self-harm (suicide),2009,0
Alameda,Intentional self-harm (suicide),2010,0
Alameda,Intentional self-harm (suicide),2011,0
Alameda,Intentional self-harm (suicide),2012,27
Alameda,Intentional self-harm (suicide),2013,45
Alameda,Intentional self-harm (suicide),2014,0
Alameda,Intentional self-harm (suicide),2015,0
Alameda,Intentional self-harm (suicide),2016,0
Alameda,Intentional self-harm (suicide),2017,0
Alameda,Intentional self-harm (suicide),2018,0
Alameda,Intentional self-harm (suicide),2019,12
Alameda,Intentional self-harm (suicide),2020,0
Alameda,Intentional self-harm (suicide),2021,0
Contra Costa,Alzheimer's disease,1989,0
Contra Costa,Alzheimer's disease,1990,0
Contra Costa,Alzheimer's disease,1991,0
Contra Costa,Alzheimer's disease,1992,0
Contra Costa,Alzheimer's disease,1993,0
Contra Costa,Alzheimer's disease,1994,0
Contra Costa,Alzheimer's disease,1995,0
Contra Costa,Alzheimer's disease,1996,0
Contra Costa,Alzheimer's disease,1997,0
Contra Costa,Alzheimer's disease,1998,0
Contra Costa,Alzheimer's disease,1999,0
Contra Costa,Alzheimer's disease,2000,43
Contra Costa,Alzheimer's disease,2001,62
Contra Costa,Alzheimer's disease,2002,69
Contra Costa,Alzheimer's disease,2003,72
Contra Costa,Alzheimer's disease,2004,186
Contra Costa,Alzheimer's disease,2005,174
Contra Costa,Alzheimer's disease,2006,294
Contra Costa,Alzheimer's disease,2007,232
Contra Costa,Alzheimer's disease,2008,305
Contra Costa,Alzheimer's disease,2009,362
Contra Costa,Alzheimer's disease,2010,229
Contra Costa,Alzheimer's disease,2011,356
Contra Costa,Alzheimer's disease,2012,400
Contra Costa,Alzheimer's disease,2013,440
Contra Costa,Alzheimer's disease,2014,522
Contra Costa,Alzheimer's disease,2015,582
Contra Costa,Alzheimer's disease,2016,551
Contra Costa,Alzheimer's disease,2017,594
Contra Costa,Alzheimer's disease,2018,710
Contra Costa,Alzheimer's disease,2019,684
Contra Costa,Alzheimer's disease,2020,763
Contra Costa,Alzheimer's disease,2021,683
Contra Costa,Cancerous tumor,1989,2010
Contra Costa,Cancerous tumor,1990,2000
Contra Costa,Cancerous tumor,1991,2079
Contra Costa,Cancerous tumor,1992,2080
Contra Costa,Cancerous tumor,1993,2025
Contra Costa,Cancerous tumor,1994,2124
Contra Costa,Cancerous tumor,1995,2253
Contra Costa,Cancerous tumor,1996,2172
Contra Costa,Cancerous tumor,1997,2283
Contra Costa,Cancerous tumor,1998,2281
Contra Costa,Cancerous tumor,1999,2180
Contra Costa,Cancerous tumor,2000,2292
Contra Costa,Cancerous tumor,2001,2371
Contra Costa,Cancerous tumor,2002,2477
Contra Costa,Cancerous tumor,2003,2301
Contra Costa,Cancerous tumor,2004,2347
Contra Costa,Cancerous tumor,2005,2386
Contra Costa,Cancerous tumor,2006,2392
Contra Costa,Cancerous tumor,2007,2407
Contra Costa,Cancerous tumor,2008,2388
Contra Costa,Cancerous tumor,2009,2339
Contra Costa,Cancerous tumor,2010,2338
Contra Costa,Cancerous tumor,2011,2480
Contra Costa,Cancerous tumor,2012,2523
Contra Costa,Cancerous tumor,2013,2549
Contra Costa,Cancerous tumor,2014,2440
Contra Costa,Cancerous tumor,2015,2608
Contra Costa,Cancerous tumor,2016,2567
Contra Costa,Cancerous tumor,2017,2500
Contra Costa,Cancerous tumor,2018,2522
Contra Costa,Cancerous tumor,2019,2618
Contra Costa,Cancerous tumor,2020,2595
Contra Costa,Cancerous tumor,2021,2557
Contra Costa,Chronic lower respiratory diseases,1989,200
Contra Costa,Chronic lower respiratory diseases,1990,167
Contra Costa,Chronic lower respiratory diseases,1991,228
Contra Costa,Chronic lower respiratory diseases,1992,222
Contra Costa,Chronic lower respiratory diseases,1993,263
Contra Costa,Chronic lower respiratory diseases,1994,165
Contra Costa,Chronic lower respiratory diseases,1995,194
Contra Costa,Chronic lower respiratory diseases,1996,228
Contra Costa,Chronic lower respiratory diseases,1997,306
Contra Costa,Chronic lower respiratory diseases,1998,312
Contra Costa,Chronic lower respiratory diseases,1999,349
Contra Costa,Chronic lower respiratory diseases,2000,377
Contra Costa,Chronic lower respiratory diseases,2001,376
Contra Costa,Chronic lower respiratory diseases,2002,393
Contra Costa,Chronic lower respiratory diseases,2003,293
Contra Costa,Chronic lower respiratory diseases,2004,289
Contra Costa,Chronic lower respiratory diseases,2005,365
Contra Costa,Chronic lower respiratory diseases,2006,347
Contra Costa,Chronic lower respiratory diseases,2007,315
Contra Costa,Chronic lower respiratory diseases,2008,358
Contra Costa,Chronic lower respiratory diseases,2009,383
Contra Costa,Chronic lower respiratory diseases,2010,277
Contra Costa,Chronic lower respiratory diseases,2011,323
Contra Costa,Chronic lower respiratory diseases,2012,406
Contra Costa,Chronic lower respiratory diseases,2013,355
Contra Costa,Chronic lower respiratory diseases,2014,328
Contra Costa,Chronic lower respiratory diseases,2015,323
Contra Costa,Chronic lower respiratory diseases,2016,312
Contra Costa,Chronic lower respiratory diseases,2017,294
Contra Costa,Chronic lower respiratory diseases,2018,291
Contra Costa,Chronic lower respiratory diseases,2019,250
Contra Costa,Chronic lower respiratory diseases,2020,317
Contra Costa,Chronic lower respiratory diseases,2021,244
Contra Costa,Diabetes,1989,0
Contra Costa,Diabetes,1990,36
Contra Costa,Diabetes,1991,0
Contra Costa,Diabetes,1992,21
Contra Costa,Diabetes,1993,21
Contra Costa,Diabetes,1994,63
Contra Costa,Diabetes,1995,77
Contra Costa,Diabetes,1996,104
Contra Costa,Diabetes,1997,55
Contra Costa,Diabetes,1998,49
Contra Costa,Diabetes,1999,56
Contra Costa,Diabetes,2000,116
Contra Costa,Diabetes,2001,59
Contra Costa,Diabetes,2002,97
Contra Costa,Diabetes,2003,147
Contra Costa,Diabetes,2004,111
Contra Costa,Diabetes,2005,79
Contra Costa,Diabetes,2006,46
Contra Costa,Diabetes,2007,141
Contra Costa,Diabetes,2008,71
Contra Costa,Diabetes,2009,60
Contra Costa,Diabetes,2010,91
Contra Costa,Diabetes,2011,119
Contra Costa,Diabetes,2012,97
Contra Costa,Diabetes,2013,93
Contra Costa,Diabetes,2014,116
Contra Costa,Diabetes,2015,189
Contra Costa,Diabetes,2016,159
Contra Costa,Diabetes,2017,177
Contra Costa,Diabetes,2018,134
Contra Costa,Diabetes,2019,169
Contra Costa,Diabetes,2020,254
Contra Costa,Diabetes,2021,158
Contra Costa,Assault (homicide),1989,50
Contra Costa,Assault (homicide),1990,74
Contra Costa,Assault (homicide),1991,110
Contra Costa,Assault (homicide),1992,54
Contra Costa,Assault (homicide),1993,126
Contra Costa,Assault (homicide),1994,133
Contra Costa,Assault (homicide),1995,75
Contra Costa,Assault (homicide),1996,34
Contra Costa,Assault (homicide),1997,35
Contra Costa,Assault (homicide),1998,0
Contra Costa,Assault (homicide),1999,38
Contra Costa,Assault (homicide),2000,20
Contra Costa,Assault (homicide),2001,42
Contra Costa,Assault (homicide),2002,57
Contra Costa,Assault (homicide),2003,52
Contra Costa,Assault (homicide),2004,82
Contra Costa,Assault (homicide),2005,61
Contra Costa,Assault (homicide),2006,54
Contra Costa,Assault (homicide),2007,118
Contra Costa,Assault (homicide),2008,71
Contra Costa,Assault (homicide),2009,83
Contra Costa,Assault (homicide),2010,26
Contra Costa,Assault (homicide),2011,25
Contra Costa,Assault (homicide),2012,20
Contra Costa,Assault (homicide),2013,13
Contra Costa,Assault (homicide),2014,13
Contra Costa,Assault (homicide),2015,14
Contra Costa,Assault (homicide),2016,0
Contra Costa,Assault (homicide),2017,12
Contra Costa,Assault (homicide),2018,0
Contra Costa,Assault (homicide),2019,0
Contra Costa,Assault (homicide),2020,26
Contra Costa,Assault (homicide),2021,14
Contra Costa,Diseases of heart,1989,2369
Contra Costa,Diseases of heart,1990,2281
Contra Costa,Diseases of heart,1991,2342
Contra Costa,Diseases of heart,1992,2207
